DATE,SERIES,VALUE
30 Sep 2017,IUMZICQ,1.23
31 Oct 2017,IUMZICQ,1.44
30 Nov 2017,IUMZICQ,1.45
31 Dec 2017,IUMZICQ,1.41
31 Jan 2018,IUMZICQ,1.42
28 Feb 2018,IUMZICQ,1.45
31 Mar 2018,IUMZICQ,1.52
30 Apr 2018,IUMZICQ,1.73
31 May 2018,IUMZICQ,1.69
30 Jun 2018,IUMZICQ,1.68
31 Jul 2018,IUMZICQ,1.73
31 Aug 2018,IUMZICQ,1.7
30 Sep 2018,IUMZICQ,1.65
31 Oct 2018,IUMZICQ,1.64
30 Nov 2018,IUMZICQ,1.67
31 Dec 2018,IUMZICQ,1.61
31 Jan 2019,IUMZICQ,1.65
28 Feb 2019,IUMZICQ,1.61
31 Mar 2019,IUMZICQ,1.59
30 Apr 2019,IUMZICQ,1.6
31 May 2019,IUMZICQ,1.56
30 Jun 2019,IUMZICQ,1.56
31 Jul 2019,IUMZICQ,1.49
31 Aug 2019,IUMZICQ,1.44
30 Sep 2019,IUMZICQ,1.38
31 Oct 2019,IUMZICQ,1.31
30 Nov 2019,IUMZICQ,1.29
31 Dec 2019,IUMZICQ,1.3
31 Jan 2020,IUMZICQ,1.3
29 Feb 2020,IUMZICQ,1.3
31 Mar 2020,IUMZICQ,1.31
30 Apr 2020,IUMZICQ,1.32
31 May 2020,IUMZICQ,1.32
30 Jun 2020,IUMZICQ,1.3
31 Jul 2020,IUMZICQ,1.32
31 Aug 2020,IUMZICQ,1.41
30 Sep 2020,IUMZICQ,1.46
31 Oct 2020,IUMZICQ,1.49
30 Nov 2020,IUMZICQ,1.4
31 Dec 2020,IUMZICQ,1.35
31 Jan 2021,IUMZICQ,1.33
28 Feb 2021,IUMZICQ,1.3
31 Mar 2021,IUMZICQ,1.29
30 Apr 2021,IUMZICQ,1.24
31 May 2021,IUMZICQ,1.21
30 Jun 2021,IUMZICQ,1.17
31 Jul 2021,IUMZICQ,1.16
31 Aug 2021,IUMZICQ,1.1
30 Sep 2021,IUMZICQ,1.13
31 Oct 2021,IUMZICQ,1.13
30 Nov 2021,IUMZICQ,1.35
31 Dec 2021,IUMZICQ,1.39
31 Jan 2022,IUMZICQ,1.42
28 Feb 2022,IUMZICQ,1.65
31 Mar 2022,IUMZICQ,2.01
30 Apr 2022,IUMZICQ,2.25
31 May 2022,IUMZICQ,2.55
30 Jun 2022,IUMZICQ,2.87
31 Jul 2022,IUMZICQ,3.43
31 Aug 2022,IUMZICQ,3.51
30 Sep 2022,IUMZICQ,4.21
31 Oct 2022,IUMZICQ,5.94
30 Nov 2022,IUMZICQ,5.82
31 Dec 2022,IUMZICQ,5.33
31 Jan 2023,IUMZICQ,5.01
28 Feb 2023,IUMZICQ,4.71
31 Mar 2023,IUMZICQ,4.57
30 Apr 2023,IUMZICQ,4.53
31 May 2023,IUMZICQ,4.69
30 Jun 2023,IUMZICQ,5.47
31 Jul 2023,IUMZICQ,6.22
31 Aug 2023,IUMZICQ,6.21
30 Sep 2023,IUMZICQ,5.93
31 Oct 2023,IUMZICQ,5.52
30 Nov 2023,IUMZICQ,5.13
31 Dec 2023,IUMZICQ,4.89
31 Jan 2024,IUMZICQ,4.62
29 Feb 2024,IUMZICQ,4.62
31 Mar 2024,IUMZICQ,4.8
30 Apr 2024,IUMZICQ,4.86
31 May 2024,IUMZICQ,5.01
30 Jun 2024,IUMZICQ,5
31 Jul 2024,IUMZICQ,4.8
31 Aug 2024,IUMZICQ,4.55
30 Sep 2024,IUMZICQ,4.37
31 Oct 2024,IUMZICQ,4.19
30 Nov 2024,IUMZICQ,4.39
31 Dec 2024,IUMZICQ,4.47
31 Jan 2025,IUMZICQ,4.49
28 Feb 2025,IUMZICQ,4.46
31 Mar 2025,IUMZICQ,4.32
30 Sep 2017,IUMBV34,1.4
31 Oct 2017,IUMBV34,1.55
30 Nov 2017,IUMBV34,1.61
31 Dec 2017,IUMBV34,1.57
31 Jan 2018,IUMBV34,1.54
28 Feb 2018,IUMBV34,1.49
31 Mar 2018,IUMBV34,1.53
30 Apr 2018,IUMBV34,1.72
31 May 2018,IUMBV34,1.74
30 Jun 2018,IUMBV34,1.74
31 Jul 2018,IUMBV34,1.75
31 Aug 2018,IUMBV34,1.75
30 Sep 2018,IUMBV34,1.71
31 Oct 2018,IUMBV34,1.8
30 Nov 2018,IUMBV34,1.75
31 Dec 2018,IUMBV34,1.73
31 Jan 2019,IUMBV34,1.72
28 Feb 2019,IUMBV34,1.7
31 Mar 2019,IUMBV34,1.7
30 Apr 2019,IUMBV34,1.66
31 May 2019,IUMBV34,1.65
30 Jun 2019,IUMBV34,1.64
31 Jul 2019,IUMBV34,1.61
31 Aug 2019,IUMBV34,1.59
30 Sep 2019,IUMBV34,1.55
31 Oct 2019,IUMBV34,1.47
30 Nov 2019,IUMBV34,1.41
31 Dec 2019,IUMBV34,1.42
31 Jan 2020,IUMBV34,1.41
29 Feb 2020,IUMBV34,1.4
31 Mar 2020,IUMBV34,1.4
30 Apr 2020,IUMBV34,1.38
31 May 2020,IUMBV34,1.42
30 Jun 2020,IUMBV34,1.41
31 Jul 2020,IUMBV34,1.45
31 Aug 2020,IUMBV34,1.6
30 Sep 2020,IUMBV34,1.75
31 Oct 2020,IUMBV34,1.94
30 Nov 2020,IUMBV34,1.92
31 Dec 2020,IUMBV34,1.86
31 Jan 2021,IUMBV34,1.75
28 Feb 2021,IUMBV34,1.61
31 Mar 2021,IUMBV34,1.56
30 Apr 2021,IUMBV34,1.49
31 May 2021,IUMBV34,1.47
30 Jun 2021,IUMBV34,1.39
31 Jul 2021,IUMBV34,1.29
31 Aug 2021,IUMBV34,1.23
30 Sep 2021,IUMBV34,1.2
31 Oct 2021,IUMBV34,1.29
30 Nov 2021,IUMBV34,1.53
31 Dec 2021,IUMBV34,1.57
31 Jan 2022,IUMBV34,1.64
28 Feb 2022,IUMBV34,1.78
31 Mar 2022,IUMBV34,2.14
30 Apr 2022,IUMBV34,2.35
31 May 2022,IUMBV34,2.63
30 Jun 2022,IUMBV34,2.87
31 Jul 2022,IUMBV34,3.48
31 Aug 2022,IUMBV34,3.6
30 Sep 2022,IUMBV34,4.17
31 Oct 2022,IUMBV34,5.99
30 Nov 2022,IUMBV34,5.98
31 Dec 2022,IUMBV34,5.43
31 Jan 2023,IUMBV34,5.14
28 Feb 2023,IUMBV34,4.79
31 Mar 2023,IUMBV34,4.74
30 Apr 2023,IUMBV34,4.6
31 May 2023,IUMBV34,4.72
30 Jun 2023,IUMBV34,5.49
31 Jul 2023,IUMBV34,6.22
31 Aug 2023,IUMBV34,6.18
30 Sep 2023,IUMBV34,5.91
31 Oct 2023,IUMBV34,5.6
30 Nov 2023,IUMBV34,5.28
31 Dec 2023,IUMBV34,5.03
31 Jan 2024,IUMBV34,4.71
29 Feb 2024,IUMBV34,4.76
31 Mar 2024,IUMBV34,4.96
30 Apr 2024,IUMBV34,4.98
31 May 2024,IUMBV34,5.19
30 Jun 2024,IUMBV34,5.16
31 Jul 2024,IUMBV34,4.99
31 Aug 2024,IUMBV34,4.8
30 Sep 2024,IUMBV34,4.58
31 Oct 2024,IUMBV34,4.4
30 Nov 2024,IUMBV34,4.53
31 Dec 2024,IUMBV34,4.6
31 Jan 2025,IUMBV34,4.64
28 Feb 2025,IUMBV34,4.66
31 Mar 2025,IUMBV34,4.54
30 Sep 2017,IUMZICR,1.57
